issued_at,origin,timestamp,prediction,lower_bound,upper_bound,model_version
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-07 20:00:00+00:00,50002.608,45851.515,54153.702,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-07 21:00:00+00:00,46980.502,42829.409,51131.596,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-07 22:00:00+00:00,44476.963,40325.869,48628.056,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-07 23:00:00+00:00,42796.215,38645.121,46947.309,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 00:00:00+00:00,42141.063,37989.969,46292.157,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 01:00:00+00:00,42304.162,38153.068,46455.256,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 02:00:00+00:00,43609.623,39458.529,47760.716,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 03:00:00+00:00,46354.029,42202.935,50505.123,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 04:00:00+00:00,51954.852,47803.759,56105.946,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 05:00:00+00:00,56137.136,51986.042,60288.23,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 06:00:00+00:00,58691.579,54540.485,62842.672,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 07:00:00+00:00,59723.792,55572.699,63874.886,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 08:00:00+00:00,60239.268,56088.174,64390.362,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 09:00:00+00:00,60105.426,55954.333,64256.52,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 10:00:00+00:00,59132.084,54980.991,63283.178,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 11:00:00+00:00,58013.459,53862.365,62164.552,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 12:00:00+00:00,56819.311,52668.217,60970.404,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 13:00:00+00:00,56136.937,51985.843,60288.03,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 14:00:00+00:00,55881.874,51730.78,60032.968,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 15:00:00+00:00,56947.874,52796.78,61098.967,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 16:00:00+00:00,57806.348,53655.255,61957.442,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 17:00:00+00:00,57252.776,53101.682,61403.87,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 18:00:00+00:00,54907.277,50756.183,59058.371,v1
2026-09-08 06:38:52+00:00,2026-09-07 19:00:00+00:00,2026-09-08 19:00:00+00:00,52243.635,48092.541,56394.729,v1
