origin,model,model_version,params_hash,mae,rmse,smape,first_seen
2025-10-05 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4758.81,5242.46,8.467,2026-09-08 08:38:45+00:00
2025-10-06 21:00:00+00:00,HistGradientBoosting,v1,d3598930,862.09,1181.65,1.531,2026-09-08 08:38:45+00:00
2025-10-07 21:00:00+00:00,HistGradientBoosting,v1,d3598930,994.54,1304.88,1.764,2026-09-08 08:38:45+00:00
2025-10-08 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3389.56,4070.72,5.919,2026-09-08 08:38:45+00:00
2025-10-09 21:00:00+00:00,HistGradientBoosting,v1,d3598930,10370.44,11727.98,18.949,2026-09-08 08:38:45+00:00
2025-10-10 21:00:00+00:00,HistGradientBoosting,v1,d3598930,8906.41,9235.58,16.417,2026-09-08 08:38:45+00:00
2025-10-11 21:00:00+00:00,HistGradientBoosting,v1,d3598930,995.97,1228.81,2.26,2026-09-08 08:38:45+00:00
2025-10-12 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1144.4,1318.16,2.191,2026-09-08 08:38:45+00:00
2025-10-13 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1213.91,1386.7,2.198,2026-09-08 08:38:45+00:00
2025-10-14 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1829.48,2288.09,3.201,2026-09-08 08:38:45+00:00
2025-10-15 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1416.35,1718.2,2.509,2026-09-08 08:38:45+00:00
2025-10-16 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1714.13,1921.76,3.061,2026-09-08 08:38:45+00:00
2025-10-17 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1881.17,2142.83,3.791,2026-09-08 08:38:45+00:00
2025-10-18 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2119.83,2606.9,4.476,2026-09-08 08:38:45+00:00
2025-10-19 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2291.72,2501.6,4.2,2026-09-08 08:38:45+00:00
2025-10-20 21:00:00+00:00,HistGradientBoosting,v1,d3598930,838.79,1011.03,1.395,2026-09-08 08:38:45+00:00
2025-10-21 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1651.99,2037.94,2.88,2026-09-08 08:38:45+00:00
2025-10-22 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2043.99,2228.1,3.528,2026-09-08 08:38:45+00:00
2025-10-23 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1450.1,1601.6,2.48,2026-09-08 08:38:45+00:00
2025-10-24 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1922.66,2437.41,3.728,2026-09-08 08:38:45+00:00
2025-10-25 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3303.84,3698.57,6.952,2026-09-08 08:38:45+00:00
2025-10-26 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1307.32,1659.45,2.251,2026-09-08 08:38:45+00:00
2025-10-27 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1694.22,2400.21,2.938,2026-09-08 08:38:45+00:00
2025-10-28 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1346.63,1620.79,2.239,2026-09-08 08:38:45+00:00
2025-10-29 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2172.68,2537.02,3.862,2026-09-08 08:38:45+00:00
2025-10-30 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4610.82,5136.28,7.856,2026-09-08 08:38:45+00:00
