number,value,l2_regularization,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,state
0,2835.7892207877485,0.00042079886696066364,0.03574712922600244,600,71,29,COMPLETE
1,5827.289878114217,0.06796578090758151,0.01699897838270077,100,95,29,COMPLETE
2,3107.3328533109775,0.000533703276260396,0.010725209743171997,600,89,9,COMPLETE
3,2903.4276416629796,0.0014618962793704966,0.018659959624904916,250,45,17,COMPLETE
4,2704.415434925914,0.006672367170464205,0.08012737503998542,150,27,14,COMPLETE
5,2933.613231852562,0.00015339162591163628,0.14447746112718687,200,44,28,COMPLETE
6,3021.8029444084373,0.7286653737491037,0.07896186801026692,150,17,86,COMPLETE
7,2949.8124742479863,0.005762487216478602,0.1563510870813346,250,18,38,COMPLETE
8,3119.124753923899,0.0010842262717330165,0.015144860262751412,350,16,76,COMPLETE
9,2921.946293197612,0.0005488047000766049,0.09519754482692679,250,45,25,COMPLETE
10,3089.0836182013427,0.01830005364066773,0.2648825868091113,450,27,5,COMPLETE
11,2808.8705952509263,0.008533587649784163,0.03901302052554415,600,70,13,COMPLETE
12,2736.703344152355,0.01200003668531547,0.0385089284456385,450,28,11,COMPLETE
13,2689.952985830683,0.05651677975833304,0.043367928631516964,450,27,8,COMPLETE
14,2803.2246937123123,0.11137933964795621,0.06794630064781867,400,27,6,COMPLETE
15,2742.7916335482773,0.08603843701601278,0.05018489632683118,500,22,8,COMPLETE
16,2669.76776890414,0.4532701564854899,0.12012810326827862,350,36,16,COMPLETE
17,2729.4589661041946,0.963979853269099,0.2969674001183967,350,34,19,COMPLETE
18,2962.4661741775403,0.30416333525110956,0.140855671891259,500,36,52,COMPLETE
19,2763.1375416213123,0.03645116674004488,0.027384933160379182,350,21,7,COMPLETE
20,2874.61733234785,0.2746023995264892,0.19756363530255774,300,60,10,COMPLETE
21,2738.477479221927,0.2745361258452304,0.09703210857140965,100,34,15,COMPLETE
22,2572.7944200567804,0.003399214253595694,0.05575967547629563,500,23,20,COMPLETE
23,2670.2888803530773,0.0028697587318378868,0.053202968028185825,500,22,21,COMPLETE
24,2658.998858098106,0.0029571191895715228,0.06200475879920396,500,21,19,COMPLETE
25,2672.93073129088,0.0028791975856753242,0.10912500037799572,550,21,43,COMPLETE
26,2710.346524983273,0.00014886870077699814,0.026730706752906473,400,15,20,COMPLETE
27,2769.8081754574723,0.030824388417890796,0.06168688224605286,550,53,13,COMPLETE
28,2953.4494276950804,0.003108328815908834,0.11545711015412564,400,126,23,COMPLETE
29,2668.9498777035983,0.00028353459605003734,0.029567966897492297,550,19,30,COMPLETE
30,2673.598322468972,0.0011639010490358296,0.029233861502041786,550,19,34,COMPLETE
31,2853.5800317615704,0.00023117826116668836,0.021325179698011808,600,24,53,COMPLETE
32,2763.562342551948,0.000286281145686841,0.03197470386409182,500,32,31,COMPLETE
33,2848.7574557472585,0.0005884712252429555,0.05603649617540083,550,40,17,COMPLETE
34,3053.796456228469,0.00011417622534468676,0.011021695300848032,450,18,25,COMPLETE
35,2611.075126922186,0.0018687377181750404,0.07544210205746667,550,15,17,COMPLETE
36,2809.4175812107437,0.0017684184574292858,0.07135728777502717,600,15,28,COMPLETE
37,2674.0983810464218,0.004551801120174937,0.04544915261352868,550,19,12,COMPLETE
38,2668.7109274629197,0.0006638267289141707,0.022631863448175676,500,24,18,COMPLETE
39,2670.4754745286864,0.0008243888006648688,0.013468591108317992,500,30,18,COMPLETE
